timestamp,Open,High,Low,Close,Volume,Adj Close,SMA_20,SMA_50,EMA_12,EMA_26,MACD,MACD_signal,RSI,volatility,BB_middle,BB_upper,BB_lower,rsi,sma_20,sma_50,ema_12,ema_26,macd,macd_signal,macd_histogram,bb_middle,bb_upper,bb_lower,volume_sma
2025-06-17 20:00:00,104686.12,104898.81,104203.85,104551.17,1706.64759,104551.17,,,104551.17,104551.17,0.0,0.0,,,,,,,,,104551.17,104551.17,0.0,0.0,0.0,,,,
2025-06-18 00:00:00,104551.17,105240.0,104379.52,105184.84,1346.38636,105184.84,,,104894.40791666666,104880.19096153846,14.216955128198606,7.898308404554781,,,,,,,,,104894.40791666666,104880.19096153846,14.216955128198606,7.898308404554781,6.318646723643825,,,,
2025-06-18 04:00:00,105184.84,105550.27,104713.24,104973.24,1758.92527,104973.24,,,104925.17609699769,104913.62257762444,11.55351937325031,9.396345686807047,,,,,,,,,104925.17609699769,104913.62257762444,11.55351937325031,9.396345686807047,2.1571736864432633,,,,
2025-06-18 08:00:00,104973.24,105310.62,104175.87,104840.59,1900.45623,104840.59,,,104898.4755718391,104893.2058604136,5.269711425498826,7.998434351675535,,,,,,,,,104898.4755718391,104893.2058604136,5.269711425498826,7.998434351675535,-2.728722926176709,,,,
2025-06-18 12:00:00,104840.58,105325.83,103814.04,104801.01,4024.47787,104801.01,,,104871.99452431008,104871.82526011275,0.16926419733499642,5.669433234844105,,,,,,,,,104871.99452431008,104871.82526011275,0.16926419733499642,5.669433234844105,-5.500169037509108,,,,
2025-06-18 16:00:00,104801.01,104836.64,103500.0,103808.41,3290.4773,103808.41,,,104613.48752992883,104658.83166500802,-45.34413507919817,-8.158080077792036,,,,,,,,,104613.48752992883,104658.83166500802,-45.34413507919817,-8.158080077792036,-37.18605500140613,,,,
2025-06-18 20:00:00,103808.41,105139.87,103652.0,104886.78,1647.91864,104886.78,,,104674.47178844782,104699.37109473349,-24.899306285675266,-12.394837815732389,,,,,,,,,104674.47178844782,104699.37109473349,-24.899306285675266,-12.394837815732389,-12.504468469942877,,,,
2025-06-19 00:00:00,104886.79,105226.17,104457.12,105100.02,1479.10507,105100.02,,,104763.277141179,104763.92556078102,-0.648419602017384,-9.571952627533205,,,,,,,,,104763.277141179,104763.92556078102,-0.648419602017384,-9.571952627533205,8.923533025515821,,,,
2025-06-19 04:00:00,105100.01,105220.0,104617.69,104642.85,1132.25759,104642.85,,,104739.45236629368,104745.9795047091,-6.527138415418449,-8.868585439133499,,,,,,,,,104739.45236629368,104745.9795047091,-6.527138415418449,-8.868585439133499,2.34144702371505,,,,
2025-06-19 08:00:00,104642.85,105073.53,104631.26,104776.23,949.58523,104776.23,,,104746.42171358762,104750.15377864063,-3.732065053001861,-7.717706698040804,,,,,,,,,104746.42171358762,104750.15377864063,-3.732065053001861,-7.717706698040804,3.9856416450389425,,,,
2025-06-19 12:00:00,104776.23,104917.05,104078.0,104096.93,1595.4989,104096.93,,,104627.58039035242,104665.43044760934,-37.85005725691735,-14.310492825998093,,,,,,,,,104627.58039035242,104665.43044760934,-37.85005725691735,-14.310492825998093,-23.53956443091926,,,,
2025-06-19 16:00:00,104096.94,104814.73,103929.27,104250.44,1624.22301,104250.44,,,104560.5260670467,104614.44233236025,-53.91626531355723,-22.81615175436197,,,,,,,,,104560.5260670467,104614.44233236025,-53.91626531355723,-22.81615175436197,-31.10011355919526,,,,
2025-06-19 20:00:00,104250.45,104898.31,104150.0,104658.59,897.93757,104658.59,,,104577.55369120551,104619.61422366118,-42.06053245566727,-26.888931319060774,,,,,,,,,104577.55369120551,104619.61422366118,-42.06053245566727,-26.888931319060774,-15.171601136606498,,,,
2025-06-20 00:00:00,104658.59,104820.0,104391.38,104596.63,1026.45735,104596.63,,,104580.80177752086,104617.03282181415,-36.23104429329396,-28.843308323567957,50.437520932864764,,,,,50.437520932864764,,,104580.80177752086,104617.03282181415,-36.23104429329396,-28.843308323567957,-7.387735969726005,,,,
2025-06-20 04:00:00,104596.64,105825.66,104238.02,105811.74,1878.07017,105811.74,,,104787.0050027131,104746.27087362827,40.734129084827146,-14.420358405347688,59.83239447825302,,,,,59.83239447825302,,,104787.0050027131,104746.27087362827,40.734129084827146,-14.420358405347688,55.15448749017483,,,,
2025-06-20 08:00:00,105811.74,106524.65,105757.48,105977.82,2862.78664,105977.82,,,104983.79657006098,104875.10102918131,108.6955408796639,10.915975861421861,56.6718831507565,,,,,56.6718831507565,,,104983.79657006098,104875.10102918131,108.6955408796639,10.915975861421861,97.77956501824204,,,,
2025-06-20 12:00:00,105977.82,106149.17,103888.0,104217.99,3668.86931,104217.99,,,104858.66891936837,104808.39852125477,50.270398113600095,18.9681798257232,44.9589036341282,,,,,44.9589036341282,,,104858.66891936837,104808.39852125477,50.270398113600095,18.9681798257232,31.302218287876894,,,,
2025-06-20 16:00:00,104218.0,104269.64,102345.0,103307.22,5227.49835,103307.22,,,104607.56986036032,104660.08473000921,-52.51486964889045,4.409300476349385,40.72825778051894,,,,,40.72825778051894,,,104607.56986036032,104660.08473000921,-52.51486964889045,4.409300476349385,-56.92417012523984,,,,
