timestamp,price,regime,regime_confidence,strategy,strategy_confidence,signal,causal_sentiment,position,portfolio_value
2025-09-02 08:00:00,109733.34,Desconocido,0.0,mean_reversion,0.5554172,-1.0,0.2,short,500.0
2025-09-02 12:00:00,110829.17,Desconocido,0.0,mean_reversion,0.69666934,0.0,0.2,short,498.79442667
2025-09-02 16:00:00,110806.0,Desconocido,0.0,momentum,0.6423943,-1.0,0.2,short,498.81759667
2025-09-02 20:00:00,111240.01,Desconocido,0.0,momentum,0.7125994,-1.0,0.2,short,498.38358667
2025-09-03 00:00:00,111054.01,Alta Volatilidad/Pánico,0.0,momentum,0.57290626,-1.0,0.2,short,498.56958667
2025-09-03 04:00:00,111099.88,Tendencia Alcista,0.0,momentum,0.737517,1.0,0.0,short,498.52371667
2025-09-03 08:00:00,111437.77,Tendencia Alcista,0.0,mean_reversion,0.66650546,0.0,0.0,short,498.18582667
2025-09-03 12:00:00,112222.74,Tendencia Bajista,0.0,momentum,0.5326031,1.0,0.0,short,497.40085667
2025-09-03 16:00:00,112193.74,Lateral/Consolidación,0.0,momentum,0.3771859,1.0,0.0,short,497.42985667
2025-09-03 20:00:00,111705.71,Alta Volatilidad/Pánico,0.0,mean_reversion,0.5482409,0.0,0.0,short,497.91788667
2025-09-04 00:00:00,111148.97,Alta Volatilidad/Pánico,0.0,mean_reversion,0.7388791,0.0,0.0,short,498.47462666999996
2025-09-04 04:00:00,110463.36,Lateral/Consolidación,0.0,mean_reversion,0.5458745,0.0,0.0,short,499.16023666999996
2025-09-04 08:00:00,110810.0,Alta Volatilidad/Pánico,0.0,mean_reversion,0.59652185,0.0,0.0,short,498.81359667
2025-09-04 12:00:00,109510.31,Alta Volatilidad/Pánico,0.0,mean_reversion,0.6099816,0.0,0.0,short,500.11328667
2025-09-04 16:00:00,109799.99,Alta Volatilidad/Pánico,0.0,mean_reversion,0.5034527,0.0,0.0,short,499.82360667
2025-09-04 20:00:00,110730.87,Alta Volatilidad/Pánico,0.0,momentum,0.8275189,1.0,0.2,short,498.89272667
2025-09-05 00:00:00,111311.77,Lateral/Consolidación,0.0,mean_reversion,0.5624785,0.0,0.2,short,498.31182666999996
2025-09-05 04:00:00,112954.32,Alta Volatilidad/Pánico,0.0,momentum,0.6811054,1.0,0.2,short,496.66927667
2025-09-05 08:00:00,112354.0,Lateral/Consolidación,0.0,mean_reversion,0.7217745,-1.0,0.2,short,497.26959667
2025-09-05 12:00:00,110716.82,Alta Volatilidad/Pánico,0.0,momentum,0.8461544,1.0,0.2,short,498.90677667
2025-09-05 16:00:00,111614.54,Alta Volatilidad/Pánico,0.0,momentum,0.6364851,1.0,0.2,short,498.00905667
2025-09-05 20:00:00,110659.99,Alta Volatilidad/Pánico,0.0,momentum,0.69020706,1.0,0.2,short,498.96360667
2025-09-06 00:00:00,111082.22,Alta Volatilidad/Pánico,0.0,mean_reversion,0.6362008,0.0,0.0,short,498.54137667
2025-09-06 04:00:00,110825.6,Alta Volatilidad/Pánico,0.0,momentum,0.6819227,1.0,0.0,short,498.79799667
2025-09-06 08:00:00,110781.02,Lateral/Consolidación,0.0,mean_reversion,0.56242645,0.0,0.0,short,498.84257666999997
2025-09-06 12:00:00,110384.15,Lateral/Consolidación,0.0,mean_reversion,0.547664,0.0,0.0,short,499.23944667
2025-09-06 16:00:00,110038.41,Tendencia Alcista,0.0,mean_reversion,0.60092974,0.0,0.0,short,499.58518667
2025-09-06 20:00:00,110187.97,Tendencia Alcista,0.0,momentum,0.6132727,1.0,0.0,short,499.43562667
2025-09-07 00:00:00,110629.15,Tendencia Alcista,0.0,mean_reversion,0.64297575,0.0,0.0,short,498.99444667
2025-09-07 04:00:00,110753.42,Lateral/Consolidación,0.0,momentum,0.69947714,1.0,0.0,short,498.87017667
2025-09-07 08:00:00,111292.13,Lateral/Consolidación,0.0,mean_reversion,0.55945563,0.0,0.0,short,498.33146667
2025-09-07 12:00:00,111329.99,Tendencia Alcista,0.0,mean_reversion,0.5132978,0.0,0.0,short,498.29360667
2025-09-07 16:00:00,111259.99,Tendencia Bajista,0.0,momentum,0.640574,1.0,0.0,short,498.36360666999997
2025-09-07 20:00:00,111137.34,Lateral/Consolidación,0.0,momentum,0.627706,1.0,0.0,short,498.48625667
2025-09-08 00:00:00,111052.11,Lateral/Consolidación,0.0,momentum,0.73208904,1.0,0.0,short,498.57148667
2025-09-08 04:00:00,111280.39,Tendencia Bajista,0.0,momentum,0.5096729,1.0,0.0,short,498.34320667
2025-09-08 08:00:00,112052.43,Tendencia Bajista,0.0,mean_reversion,0.74454504,0.0,0.0,short,497.57116666999997
2025-09-08 12:00:00,112631.75,Tendencia Alcista,0.0,mean_reversion,0.5524026,0.0,0.0,short,496.99184667
2025-09-08 16:00:00,112097.31,Tendencia Bajista,0.0,momentum,0.5983649,1.0,0.2,short,497.52628667
2025-09-08 20:00:00,112065.23,Tendencia Bajista,0.0,momentum,0.59851235,1.0,0.2,short,497.55836667
2025-09-09 00:00:00,111708.0,Tendencia Bajista,0.0,mean_reversion,0.54663134,0.0,0.2,short,497.91559667
2025-09-09 04:00:00,112991.11,Tendencia Bajista,0.0,mean_reversion,0.81219167,0.0,0.2,short,496.63248667
2025-09-09 08:00:00,112433.59,Tendencia Bajista,0.0,mean_reversion,0.7227177,-1.0,0.0,short,497.19000667
2025-09-09 12:00:00,110880.76,Tendencia Bajista,0.0,mean_reversion,0.672278,0.0,0.0,short,498.74283667
2025-09-09 16:00:00,111301.53,Tendencia Bajista,0.0,momentum,0.61297107,1.0,0.0,short,498.32206666999997
2025-09-09 20:00:00,111546.39,Alta Volatilidad/Pánico,0.0,mean_reversion,0.53015196,0.0,0.0,short,498.07720667
2025-09-10 00:00:00,111545.88,Lateral/Consolidación,0.0,mean_reversion,0.56919694,0.0,0.0,short,498.07771667
2025-09-10 04:00:00,112553.65,Tendencia Alcista,0.0,momentum,0.558614,1.0,0.0,short,497.06994667
2025-09-10 08:00:00,112299.99,Tendencia Alcista,0.0,mean_reversion,0.61183465,0.0,0.2,short,497.32360667
2025-09-10 12:00:00,113853.99,Alta Volatilidad/Pánico,0.0,momentum,0.6119269,1.0,0.2,short,495.76960667
2025-09-10 16:00:00,113574.52,Tendencia Bajista,0.0,momentum,0.6540859,1.0,0.0,short,496.04907667
2025-09-10 20:00:00,113960.0,Alta Volatilidad/Pánico,0.0,momentum,0.83830804,1.0,0.0,short,495.66359666999995
2025-09-11 00:00:00,114400.01,Tendencia Bajista,0.0,momentum,0.69012266,1.0,0.0,short,495.22358667
2025-09-11 04:00:00,114083.58,Tendencia Alcista,0.0,momentum,0.5309555,1.0,0.0,short,495.54001667
2025-09-11 08:00:00,113999.99,Lateral/Consolidación,0.0,momentum,0.7472498,1.0,0.0,short,495.62360666999996
2025-09-11 12:00:00,114180.31,Tendencia Alcista,0.0,momentum,0.71574,1.0,0.0,short,495.44328666999996
2025-09-11 16:00:00,114419.99,Alta Volatilidad/Pánico,0.0,momentum,0.76656616,1.0,0.0,short,495.20360667
2025-09-11 20:00:00,115482.69,Alta Volatilidad/Pánico,0.0,momentum,0.5932552,1.0,0.0,short,494.14090667
2025-09-12 00:00:00,115194.14,Tendencia Alcista,0.0,mean_reversion,0.57042456,0.0,-0.3,,494.02542397999997
2025-09-12 04:00:00,115086.7,Tendencia Bajista,0.0,mean_reversion,0.5504782,0.0,-0.3,,494.02542397999997
