2025-10-21 22:25:38,038 | INFO |       ADAUSDT: SELL @ $0.64
2025-10-21 22:25:38,039 | INFO |       AVAXUSDT: SELL @ $19.36
2025-10-21 22:25:38,039 | INFO | ⏳ Esperando 30 segundos para el próximo ciclo...

2025-10-21 22:26:08,040 | INFO | 
🔍 CICLO 9 - 22:26:08
2025-10-21 22:26:08,040 | INFO | 📊 Monitoreando 2 posiciones activas...
2025-10-21 22:26:25,723 | INFO | 📊 Resumen ciclo 9:
2025-10-21 22:26:25,723 | INFO |    🎯 Señales detectadas: 0
2025-10-21 22:26:25,723 | INFO |    📈 Posiciones activas: 2
2025-10-21 22:26:25,723 | INFO |    💼 Posiciones:
2025-10-21 22:26:25,723 | INFO |       ADAUSDT: SELL @ $0.64
2025-10-21 22:26:25,723 | INFO |       AVAXUSDT: SELL @ $19.36
2025-10-21 22:26:25,723 | INFO | ⏳ Esperando 30 segundos para el próximo ciclo...

2025-10-21 22:26:55,726 | INFO | 
🔍 CICLO 10 - 22:26:55
2025-10-21 22:26:55,726 | INFO | 📊 Monitoreando 2 posiciones activas...
2025-10-21 22:27:13,854 | INFO | 📊 Resumen ciclo 10:
2025-10-21 22:27:13,854 | INFO |    🎯 Señales detectadas: 0
2025-10-21 22:27:13,854 | INFO |    📈 Posiciones activas: 2
2025-10-21 22:27:13,854 | INFO |    💼 Posiciones:
2025-10-21 22:27:13,854 | INFO |       ADAUSDT: SELL @ $0.64
2025-10-21 22:27:13,858 | INFO |       AVAXUSDT: SELL @ $19.36
2025-10-21 22:27:13,858 | INFO | ⏳ Esperando 30 segundos para el próximo ciclo...

2025-10-21 22:27:43,859 | INFO | 
🔍 CICLO 11 - 22:27:43
2025-10-21 22:27:43,860 | INFO | 📊 Monitoreando 2 posiciones activas...
2025-10-21 22:28:09,537 | INFO | 📊 Resumen ciclo 11:
2025-10-21 22:28:09,538 | INFO |    🎯 Señales detectadas: 0
2025-10-21 22:28:09,538 | INFO |    📈 Posiciones activas: 2
2025-10-21 22:28:09,538 | INFO |    💼 Posiciones:
2025-10-21 22:28:09,539 | INFO |       ADAUSDT: SELL @ $0.64
2025-10-21 22:28:09,539 | INFO |       AVAXUSDT: SELL @ $19.36
2025-10-21 22:28:09,539 | INFO | ⏳ Esperando 30 segundos para el próximo ciclo...

2025-10-21 22:28:39,540 | INFO | 
🔍 CICLO 12 - 22:28:39
2025-10-21 22:28:39,540 | INFO | 📊 Monitoreando 2 posiciones activas...
2025-10-21 22:28:57,547 | INFO | 📊 Resumen ciclo 12:
2025-10-21 22:28:57,547 | INFO |    🎯 Señales detectadas: 0
2025-10-21 22:28:57,547 | INFO |    📈 Posiciones activas: 2
2025-10-21 22:28:57,547 | INFO |    💼 Posiciones:
2025-10-21 22:28:57,547 | INFO |       ADAUSDT: SELL @ $0.64
2025-10-21 22:28:57,547 | INFO |       AVAXUSDT: SELL @ $19.36
2025-10-21 22:28:57,548 | INFO | ⏳ Esperando 30 segundos para el próximo ciclo...

2025-10-21 22:29:27,548 | INFO | 
🔍 CICLO 13 - 22:29:27
2025-10-21 22:29:27,548 | INFO | 📊 Monitoreando 2 posiciones activas...
2025-10-21 22:29:53,059 | INFO | 📊 Resumen ciclo 13:
2025-10-21 22:29:53,061 | INFO |    🎯 Señales detectadas: 0
2025-10-21 22:29:53,062 | INFO |    📈 Posiciones activas: 2
2025-10-21 22:29:53,062 | INFO |    💼 Posiciones:
2025-10-21 22:29:53,063 | INFO |       ADAUSDT: SELL @ $0.64
2025-10-21 22:29:53,065 | INFO |       AVAXUSDT: SELL @ $19.36
2025-10-21 22:29:53,065 | INFO | ⏳ Esperando 30 segundos para el próximo ciclo...

2025-10-21 22:30:23,066 | INFO | 
🔍 CICLO 14 - 22:30:23
2025-10-21 22:30:23,066 | INFO | 📊 Monitoreando 2 posiciones activas...
2025-10-21 22:30:40,540 | INFO | 📊 Resumen ciclo 14:
2025-10-21 22:30:40,540 | INFO |    🎯 Señales detectadas: 0
2025-10-21 22:30:40,540 | INFO |    📈 Posiciones activas: 2
2025-10-21 22:30:40,540 | INFO |    💼 Posiciones:
2025-10-21 22:30:40,556 | INFO |       ADAUSDT: SELL @ $0.64
2025-10-21 22:30:40,556 | INFO |       AVAXUSDT: SELL @ $19.36
2025-10-21 22:30:40,556 | INFO | ⏳ Esperando 30 segundos para el próximo ciclo...

2025-10-21 22:31:10,557 | INFO | 
🔍 CICLO 15 - 22:31:10
2025-10-21 22:31:10,557 | INFO | 📊 Monitoreando 2 posiciones activas...
2025-10-21 22:31:27,215 | INFO | 📊 Resumen ciclo 15:
2025-10-21 22:31:27,217 | INFO |    🎯 Señales detectadas: 0
2025-10-21 22:31:27,217 | INFO |    📈 Posiciones activas: 2
2025-10-21 22:31:27,217 | INFO |    💼 Posiciones:
2025-10-21 22:31:27,217 | INFO |       ADAUSDT: SELL @ $0.64
2025-10-21 22:31:27,217 | INFO |       AVAXUSDT: SELL @ $19.36
2025-10-21 22:31:27,217 | INFO | ⏳ Esperando 30 segundos para el próximo ciclo...

2025-10-21 22:31:57,219 | INFO | 
🔍 CICLO 16 - 22:31:57
2025-10-21 22:31:57,219 | INFO | 📊 Monitoreando 2 posiciones activas...
2025-10-21 22:32:23,228 | INFO | 📊 Resumen ciclo 16:
2025-10-21 22:32:23,228 | INFO |    🎯 Señales detectadas: 0
2025-10-21 22:32:23,230 | INFO |    📈 Posiciones activas: 2
2025-10-21 22:32:23,230 | INFO |    💼 Posiciones:
2025-10-21 22:32:23,230 | INFO |       ADAUSDT: SELL @ $0.64
2025-10-21 22:32:23,230 | INFO |       AVAXUSDT: SELL @ $19.36
2025-10-21 22:32:23,230 | INFO | ⏳ Esperando 30 segundos para el próximo ciclo...

2025-10-21 22:32:53,232 | INFO | 
🔍 CICLO 17 - 22:32:53
2025-10-21 22:32:53,232 | INFO | 📊 Monitoreando 2 posiciones activas...
2025-10-21 22:33:19,470 | INFO | 📊 Resumen ciclo 17:
2025-10-21 22:33:19,470 | INFO |    🎯 Señales detectadas: 0
2025-10-21 22:33:19,470 | INFO |    📈 Posiciones activas: 2
2025-10-21 22:33:19,471 | INFO |    💼 Posiciones:
2025-10-21 22:33:19,471 | INFO |       ADAUSDT: SELL @ $0.64
2025-10-21 22:33:19,471 | INFO |       AVAXUSDT: SELL @ $19.36
2025-10-21 22:33:19,472 | INFO | ⏳ Esperando 30 segundos para el próximo ciclo...

2025-10-21 22:33:49,473 | INFO | 
🔍 CICLO 18 - 22:33:49
2025-10-21 22:33:49,473 | INFO | 📊 Monitoreando 2 posiciones activas...
2025-10-21 22:34:16,922 | INFO | 📊 Resumen ciclo 18:
2025-10-21 22:34:16,926 | INFO |    🎯 Señales detectadas: 0
2025-10-21 22:34:16,926 | INFO |    📈 Posiciones activas: 2
2025-10-21 22:34:16,926 | INFO |    💼 Posiciones:
2025-10-21 22:34:16,926 | INFO |       ADAUSDT: SELL @ $0.64
2025-10-21 22:34:16,926 | INFO |       AVAXUSDT: SELL @ $19.36
2025-10-21 22:34:16,926 | INFO | ⏳ Esperando 30 segundos para el próximo ciclo...

2025-10-21 22:34:46,931 | INFO | 
🔍 CICLO 19 - 22:34:46
2025-10-21 22:34:46,934 | INFO | 📊 Monitoreando 2 posiciones activas...
2025-10-21 22:35:05,460 | INFO | 📊 Resumen ciclo 19:
2025-10-21 22:35:05,460 | INFO |    🎯 Señales detectadas: 0
2025-10-21 22:35:05,460 | INFO |    📈 Posiciones activas: 2
2025-10-21 22:35:05,460 | INFO |    💼 Posiciones:
2025-10-21 22:35:05,460 | INFO |       ADAUSDT: SELL @ $0.64
2025-10-21 22:35:05,460 | INFO |       AVAXUSDT: SELL @ $19.36
2025-10-21 22:35:05,462 | INFO | ⏳ Esperando 30 segundos para el próximo ciclo...

2025-10-21 22:35:35,463 | INFO | 
🔍 CICLO 20 - 22:35:35
2025-10-21 22:35:35,463 | INFO | 📊 Monitoreando 2 posiciones activas...
2025-10-21 22:35:52,751 | INFO | 📊 Resumen ciclo 20:
2025-10-21 22:35:52,751 | INFO |    🎯 Señales detectadas: 0
2025-10-21 22:35:52,751 | INFO |    📈 Posiciones activas: 2
2025-10-21 22:35:52,751 | INFO |    💼 Posiciones:
2025-10-21 22:35:52,760 | INFO |       ADAUSDT: SELL @ $0.64
2025-10-21 22:35:52,760 | INFO |       AVAXUSDT: SELL @ $19.36
2025-10-21 22:35:52,760 | INFO | ⏳ Esperando 30 segundos para el próximo ciclo...

2025-10-21 22:36:22,761 | INFO | 
🔍 CICLO 21 - 22:36:22
2025-10-21 22:36:22,761 | INFO | 📊 Monitoreando 2 posiciones activas...
2025-10-21 22:36:36,158 | INFO | 🎯 SEÑAL DETECTADA: AVAXUSDT
2025-10-21 22:36:36,160 | INFO |    📈 Tipo: SELL
2025-10-21 22:36:36,160 | INFO |    💪 Confianza: 95.0%
2025-10-21 22:36:36,160 | INFO |    ⚠️ Riesgo: LOW
2025-10-21 22:36:36,160 | INFO |    💡 Razón: Rompimiento bajista: $19.35 < $19.38 (-3.0%)
2025-10-21 22:36:36,173 | INFO | ⚠️ AVAXUSDT: Ya hay posición activa
2025-10-21 22:36:36,176 | INFO | ⏭️ Señal AVAXUSDT no cumple criterios de ejecución
2025-10-21 22:36:40,272 | INFO | 📊 Resumen ciclo 21:
2025-10-21 22:36:40,272 | INFO |    🎯 Señales detectadas: 1
2025-10-21 22:36:40,272 | INFO |    📈 Posiciones activas: 2
2025-10-21 22:36:40,272 | INFO |    💼 Posiciones:
2025-10-21 22:36:40,275 | INFO |       ADAUSDT: SELL @ $0.64
2025-10-21 22:36:40,275 | INFO |       AVAXUSDT: SELL @ $19.36
2025-10-21 22:36:40,275 | INFO | ⏳ Esperando 30 segundos para el próximo ciclo...

2025-10-21 22:37:10,276 | INFO | 
🔍 CICLO 22 - 22:37:10
2025-10-21 22:37:10,276 | INFO | 📊 Monitoreando 2 posiciones activas...
2025-10-21 22:37:24,651 | INFO | 🎯 SEÑAL DETECTADA: AVAXUSDT
2025-10-21 22:37:24,652 | INFO |    📈 Tipo: SELL
2025-10-21 22:37:24,652 | INFO |    💪 Confianza: 95.0%
2025-10-21 22:37:24,652 | INFO |    ⚠️ Riesgo: LOW
2025-10-21 22:37:24,653 | INFO |    💡 Razón: Rompimiento bajista: $19.37 < $19.38 (-2.8%)
2025-10-21 22:37:24,661 | INFO | ⚠️ AVAXUSDT: Ya hay posición activa
2025-10-21 22:37:24,661 | INFO | ⏭️ Señal AVAXUSDT no cumple criterios de ejecución
2025-10-21 22:37:29,546 | INFO | 📊 Resumen ciclo 22:
2025-10-21 22:37:29,546 | INFO |    🎯 Señales detectadas: 1
2025-10-21 22:37:29,546 | INFO |    📈 Posiciones activas: 2
2025-10-21 22:37:29,546 | INFO |    💼 Posiciones:
2025-10-21 22:37:29,546 | INFO |       ADAUSDT: SELL @ $0.64
2025-10-21 22:37:29,546 | INFO |       AVAXUSDT: SELL @ $19.36
