2025-10-18 12:45:53,783 - ERROR - Error processing ADAUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:53,787 - ERROR - Error processing DOTUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:53,892 - ERROR - Error processing BTCUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:53,896 - ERROR - Error processing ETHUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:53,900 - ERROR - Error processing ADAUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:53,903 - ERROR - Error processing DOTUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:54,006 - ERROR - Error processing BTCUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:54,011 - ERROR - Error processing ETHUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:54,015 - ERROR - Error processing ADAUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:54,017 - ERROR - Error processing DOTUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:54,120 - ERROR - Error processing BTCUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:54,123 - ERROR - Error processing ETHUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:54,127 - ERROR - Error processing ADAUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:54,130 - ERROR - Error processing DOTUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:54,234 - ERROR - Error processing BTCUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:54,237 - ERROR - Error processing ETHUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:54,238 - ERROR - Error processing ADAUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:54,243 - ERROR - Error processing DOTUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:54,349 - ERROR - Error processing BTCUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:54,352 - ERROR - Error processing ETHUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:54,355 - ERROR - Error processing ADAUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:54,358 - ERROR - Error processing DOTUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:54,463 - ERROR - Error processing BTCUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:54,465 - ERROR - Error processing ETHUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:54,468 - ERROR - Error processing ADAUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:54,471 - ERROR - Error processing DOTUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:54,576 - ERROR - Error processing BTCUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:54,581 - ERROR - Error processing ETHUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:54,584 - ERROR - Error processing ADAUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:54,588 - ERROR - Error processing DOTUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:54,692 - ERROR - Error processing BTCUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:54,695 - ERROR - Error processing ETHUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:54,698 - ERROR - Error processing ADAUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:54,700 - ERROR - Error processing DOTUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:54,805 - ERROR - Error processing BTCUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:54,808 - ERROR - Error processing ETHUSDT: operands could not be broadcast together with shapes (19,) (20,) 
