timestamp,symbol,type,price,quantity,size,fee,strategy,confidence,capital_after,position_id,pnl,reason
2025-10-08 09:00:00,BTCUSDT,SELL_ENSEMBLE,122561.77,0.0004570078369981098,56.01168940635983,0.05601168940635983,ensemble,0.3734112627090655,443.9322989042338,SELL_BTCUSDT_2025-10-08 09:00:00,,
2025-10-08 09:30:00,BTCUSDT,SELL_ENSEMBLE,122463.72,0.00043487811815096214,53.25679209536634,0.053256792095366344,ensemble,0.3998867411901999,390.62225001677206,SELL_BTCUSDT_2025-10-08 09:30:00,,
2025-10-10 20:45:00,BTCUSDT,CLOSE_SELL,114266.82,0.0004570078369981098,52.22083224885236,0.052220832248852364,ensemble,,450.3725757483905,SELL_BTCUSDT_2025-10-08 09:00:00,3.7386363252586174,take_profit
2025-10-10 20:45:00,BTCUSDT,CLOSE_SELL,114266.82,0.00043487811815096214,49.69213964869473,0.049692139648694726,ensemble,,507.14432815077976,SELL_BTCUSDT_2025-10-08 09:30:00,3.5149603070229243,take_profit
2025-10-10 21:00:00,BTCUSDT,BUY_ENSEMBLE,112209.36,0.00048042590495097725,53.90828332196999,0.053908283321969994,ensemble,0.3543257170895044,453.1821365454878,BUY_BTCUSDT_2025-10-10 21:00:00,,
2025-10-10 21:15:00,BTCUSDT,CLOSE_BUY,108432.09,0.00048042590495097725,52.09358496397581,0.05209358496397581,ensemble,,505.2236279244996,BUY_BTCUSDT_2025-10-10 21:00:00,-1.8667919429581556,stop_loss
2025-10-10 22:15:00,DOTUSDT,BUY_ENSEMBLE,2.696,19.281559490144776,51.98308438543032,0.05198308438543032,ensemble,0.34297079228711136,453.18856045468385,BUY_DOTUSDT_2025-10-10 22:15:00,,
2025-10-10 22:45:00,DOTUSDT,CLOSE_BUY,2.878,19.281559490144776,55.492328212636664,0.055492328212636666,ensemble,,508.62539633910785,BUY_DOTUSDT_2025-10-10 22:15:00,3.4537514989937113,take_profit
2025-10-11 01:15:00,BTCUSDT,BUY_ENSEMBLE,111260.89,0.0006002678003957742,66.7863297103762,0.0667863297103762,ensemble,0.43769166981619345,441.7722802990213,BUY_BTCUSDT_2025-10-11 01:15:00,,
2025-10-11 01:30:00,BTCUSDT,BUY_ENSEMBLE,111245.34,0.00048199228014335674,53.61939508192297,0.05361939508192297,ensemble,0.4045779350817707,388.09926582201643,BUY_BTCUSDT_2025-10-11 01:30:00,,
2025-10-16 18:00:00,BTCUSDT,CLOSE_BUY,107897.12,0.0006002678003957742,64.76716689143889,0.0647671668914389,ensemble,,452.80166554656387,BUY_BTCUSDT_2025-10-11 01:15:00,-2.0839299858287346,stop_loss
2025-10-16 18:00:00,BTCUSDT,CLOSE_BUY,107897.12,0.00048199228014335674,52.005578889701376,0.05200557888970138,ensemble,,504.75523885737556,BUY_BTCUSDT_2025-10-11 01:30:00,-1.665821771111292,stop_loss
2025-10-16 19:15:00,ETHUSDT,BUY_ENSEMBLE,3874.57,0.013158139350819215,50.98213198450361,0.05098213198450361,ensemble,0.3366789026955776,453.72212474088747,BUY_ETHUSDT_2025-10-16 19:15:00,,
2025-10-16 20:30:00,ETHUSDT,BUY_ENSEMBLE,3846.91,0.013115989412636775,50.45603083136653,0.05045603083136654,ensemble,0.3706823191263527,403.21563787868956,BUY_ETHUSDT_2025-10-16 20:30:00,,
2025-10-16 22:30:00,DOTUSDT,BUY_ENSEMBLE,3.0,17.0230583147715,51.069174944314504,0.051069174944314503,ensemble,0.4221824928301272,352.09539375943075,BUY_DOTUSDT_2025-10-16 22:30:00,,
2025-10-17 06:45:00,DOTUSDT,CLOSE_BUY,2.904,17.0230583147715,49.434961346096436,0.049434961346096436,ensemble,,401.4809201441811,BUY_DOTUSDT_2025-10-16 22:30:00,-1.683648559564162,stop_loss
2025-10-17 07:30:00,ADAUSDT,BUY_ENSEMBLE,0.6105,83.35414681126119,50.887706628274955,0.05088770662827496,ensemble,0.4225,350.5423258092778,BUY_ADAUSDT_2025-10-17 07:30:00,,
2025-10-17 07:45:00,ETHUSDT,CLOSE_BUY,3756.49,0.013158139350819215,49.42841888995887,0.04942841888995887,ensemble,,399.92131628034673,BUY_ETHUSDT_2025-10-16 19:15:00,-1.603141513434697,stop_loss
2025-10-17 08:15:00,ETHUSDT,CLOSE_BUY,3731.41,0.013115989412636775,48.94113405420699,0.04894113405420699,ensemble,,448.81350920049954,BUY_ETHUSDT_2025-10-16 20:30:00,-1.5638379112137546,stop_loss
2025-10-17 09:00:00,ADAUSDT,BUY_ENSEMBLE,0.6038,89.4307980647476,53.998315871494604,0.053998315871494604,ensemble,0.4010449385958791,394.76119501313343,BUY_ADAUSDT_2025-10-17 09:00:00,,
2025-10-17 13:15:00,ADAUSDT,SELL_ENSEMBLE,0.6178,80.99058185159383,50.03598146791467,0.050035981467914666,ensemble,0.4225,344.6751775637508,SELL_ADAUSDT_2025-10-17 13:15:00,,
999,ADAUSDT,CLOSE_BUY,0.6283,83.35414681126119,52.3714104415154,0.0523714104415154,ensemble,,396.9942165948247,BUY_ADAUSDT_2025-10-17 07:30:00,1.4313324027989276,backtest_end
999,ADAUSDT,CLOSE_BUY,0.6283,89.4307980647476,56.18937042408092,0.05618937042408092,ensemble,,453.1273976484815,BUY_ADAUSDT_2025-10-17 09:00:00,2.1348651821622324,backtest_end
999,ADAUSDT,CLOSE_SELL,0.6283,80.99058185159383,50.8863825773564,0.0508863825773564,ensemble,,502.2620916243771,SELL_ADAUSDT_2025-10-17 13:15:00,-0.901287492019088,backtest_end
