timestamp,Open,High,Low,Close,Volume,Adj Close,SMA_20,SMA_50,EMA_12,EMA_26,MACD,MACD_signal,RSI,volatility,BB_middle,BB_upper,BB_lower
2025-10-07 20:45:00,122072.07,122193.09,121907.86,121943.61,92.93413,121943.61,,,121943.61,121943.61,0.0,0.0,,,,,
2025-10-07 21:00:00,121943.61,122180.0,121765.9,121992.27,125.77929,121992.27,,,121969.9675,121968.87576923077,1.0917307692288887,0.6065170940160493,,,,,
2025-10-07 21:15:00,121992.27,122292.62,121958.14,122248.21,95.03518,122248.21,,,122078.56561200925,122069.23784622966,9.327765779584297,4.180799342199757,,,,,
2025-10-07 21:30:00,122248.21,122248.21,121814.54,122018.54,102.11751,122018.54,,,122059.61787212644,122055.06494389841,4.5529282280331245,4.306859262875017,,,,,
2025-10-07 21:45:00,122018.55,122018.55,121787.47,122016.0,74.97919,122016.0,,,122047.76705215895,122046.00562228117,1.7614298777771182,3.549651568593158,,,,,
2025-10-07 22:00:00,122016.0,122046.36,121797.6,122030.71,119.69055,122030.71,,,122043.62129111613,122042.94203113175,0.6792599843756761,2.7716158585853834,,,,,
2025-10-07 22:15:00,122030.7,122173.5,121880.37,121916.73,113.90756,121916.73,,,122015.30594346231,122020.49587566078,-5.189932198467432,0.7567604401203403,,,,,
2025-10-07 22:30:00,121916.73,122047.37,121823.58,121930.86,115.52923,121930.86,,,121997.683376636,122006.0533150649,-8.369938428892056,-1.4365569257136108,,,,,
2025-10-07 22:45:00,121930.87,122011.18,121926.04,122011.17,55.18385,122011.17,,,122000.35151076644,122006.81172009854,-6.460209332100931,-2.5970455540571855,,,,,
2025-10-07 23:00:00,122011.17,122022.88,121768.69,121801.41,79.00015,121801.41,,,121962.6521717937,121978.46828183578,-15.816110042083892,-5.558883365015592,,,,,
2025-10-07 23:15:00,121801.41,121851.5,121587.92,121662.19,113.66425,121662.19,,,121907.6748390101,121937.44688848458,-29.772049474486266,-10.856585757284439,,,,,
2025-10-07 23:30:00,121662.2,121662.2,121367.48,121465.81,217.35204,121465.81,,,121829.11272121432,121879.49886542934,-50.386144215022796,-19.34587710833581,,,,,
2025-10-07 23:45:00,121465.82,121524.48,121258.08,121332.95,167.64652,121332.95,,,121742.96002384623,121815.47076442726,-72.51074058102677,-30.597409328174443,,,,,
2025-10-08 00:00:00,121332.96,121614.66,121332.96,121551.37,129.34341,121551.37,,,121710.33835991136,121785.80910558056,-75.47074566919764,-39.98494477141937,38.16115128759257,,,,
2025-10-08 00:15:00,121551.38,121802.38,121551.38,121587.8,132.40665,121587.8,,,121689.8110868427,121764.38937067485,-74.57828383214655,-47.15591880209961,39.49179272420158,,,,
2025-10-08 00:30:00,121587.8,121952.71,121276.0,121889.93,208.27662,121889.93,,,121722.8823150905,121777.52195179391,-54.63963670341764,-48.69601215646854,47.371152028276434,,,,
2025-10-08 00:45:00,121889.92,122089.68,121799.99,121914.09,181.71223,121914.09,,,121754.12436672919,121791.38480131775,-37.26043458856293,-46.35620895884268,40.25718784627034,,,,
2025-10-08 01:00:00,121914.09,122030.5,121676.56,121706.19,171.35321,121706.19,,,121746.36628057528,121782.96770515034,-36.60142457505572,-44.36946203119312,40.77486960476836,,,,
2025-10-08 01:15:00,121706.19,122056.0,121605.75,121833.45,160.84506,121833.45,,,121760.34872827202,121787.8349288472,-27.486200575178373,-40.943435494115796,44.97840618380871,,,,
2025-10-08 01:30:00,121833.45,121959.74,121750.0,121793.64,116.94182,121793.64,121832.34650000001,,121765.65841822172,121788.38239117987,-22.723972958148806,-37.25704176082682,43.56749423416071,,121832.34650000001,122278.91594196374,121385.77705803628
