RESULTADOS FINALES - Estrategia de Probabilidad Dinámica
============================================================

Capital inicial: $1,000.00
Capital final: $1,691,039.89
Retorno total: 169003.99%
Retorno mensual estimado: 169003.99%
Total trades: 95
Win rate: 38.95%
Máximo drawdown: 50.59%

Distribución por tipo de señal:
Bounce en Soporte: 9 trades | 22.2% win rate | 5721.71% avg PnL
Momentum Positivo: 42 trades | 40.5% win rate | 10069.31% avg PnL
Entrada Aleatoria Ponderada: 44 trades | 40.9% win rate | 10556.92% avg PnL

Objetivo 10% mensual: ALCANZADO
Objetivo 15% mensual: ALCANZADO
Superación del objetivo: 16900.4x

============================================================
DETALLE DE TRADES:
============================================================
 58. BNB-USD | D | Entry: $335.56 | Exit: $0.81 | PnL: -99.76% | Razón: SL
 59. ADA-USD | D | Entry: $0.81 | Exit: $115.05 | PnL: 14017.65% | Razón: TP
 60. SOL-USD | D | Entry: $115.05 | Exit: $43767.77 | PnL: 37942.16% | Razón: TP
 61. BTC-USD | A | Entry: $44091.57 | Exit: $2743.48 | PnL: -93.78% | Razón: SL
 62. BNB-USD | A | Entry: $342.93 | Exit: $0.83 | PnL: -99.76% | Razón: SL
 63. ADA-USD | A | Entry: $0.83 | Exit: $117.58 | PnL: 14017.65% | Razón: TP
 64. SOL-USD | A | Entry: $117.58 | Exit: $44667.06 | PnL: 37889.46% | Razón: TP
 65. BTC-USD | D | Entry: $46028.54 | Exit: $2864.00 | PnL: -93.78% | Razón: SL
 66. ETH-USD | D | Entry: $2864.00 | Exit: $358.00 | PnL: -87.50% | Razón: SL
 67. BNB-USD | D | Entry: $358.00 | Exit: $0.87 | PnL: -99.76% | Razón: SL
 68. ADA-USD | D | Entry: $0.87 | Exit: $122.74 | PnL: 14017.65% | Razón: TP
 69. SOL-USD | D | Entry: $122.74 | Exit: $47896.63 | PnL: 38921.96% | Razón: TP
 70. BTC-USD | D | Entry: $50713.96 | Exit: $3155.54 | PnL: -93.78% | Razón: SL
 71. ETH-USD | D | Entry: $3155.54 | Exit: $394.44 | PnL: -87.50% | Razón: SL
 72. BNB-USD | D | Entry: $394.44 | Exit: $0.96 | PnL: -99.76% | Razón: SL
 73. ADA-USD | D | Entry: $0.96 | Exit: $135.24 | PnL: 14017.65% | Razón: TP
 74. SOL-USD | D | Entry: $135.24 | Exit: $51111.23 | PnL: 37693.76% | Razón: TP
 75. BTC-USD | D | Entry: $49386.15 | Exit: $3072.92 | PnL: -93.78% | Razón: SL
 76. ETH-USD | D | Entry: $3072.92 | Exit: $384.11 | PnL: -87.50% | Razón: SL
 77. BNB-USD | D | Entry: $384.11 | Exit: $0.93 | PnL: -99.76% | Razón: SL
 78. ADA-USD | D | Entry: $0.93 | Exit: $131.70 | PnL: 14017.65% | Razón: TP
 79. SOL-USD | D | Entry: $131.70 | Exit: $50137.59 | PnL: 37970.59% | Razón: TP
 80. BTC-USD | A | Entry: $50232.67 | Exit: $3125.59 | PnL: -93.78% | Razón: SL
 81. ETH-USD | A | Entry: $3125.59 | Exit: $390.70 | PnL: -87.50% | Razón: SL
 82. BNB-USD | A | Entry: $390.70 | Exit: $0.95 | PnL: -99.76% | Razón: SL
 83. ADA-USD | A | Entry: $0.95 | Exit: $133.95 | PnL: 14017.65% | Razón: TP
 84. BTC-USD | A | Entry: $50511.53 | Exit: $3142.94 | PnL: -93.78% | Razón: SL
 85. BNB-USD | A | Entry: $392.87 | Exit: $0.95 | PnL: -99.76% | Razón: SL
 86. ADA-USD | A | Entry: $0.95 | Exit: $134.70 | PnL: 14017.65% | Razón: TP
 87. SOL-USD | A | Entry: $134.70 | Exit: $49348.20 | PnL: 36536.34% | Razón: TP
 88. BTC-USD | D | Entry: $48896.21 | Exit: $3042.43 | PnL: -93.78% | Razón: SL
 89. ETH-USD | D | Entry: $3042.43 | Exit: $380.30 | PnL: -87.50% | Razón: SL
 90. ADA-USD | D | Entry: $0.92 | Exit: $130.39 | PnL: 14017.65% | Razón: TP
 91. SOL-USD | D | Entry: $130.39 | Exit: $49775.59 | PnL: 38074.43% | Razón: TP
 92. BTC-USD | B | Entry: $44830.67 | Exit: $2789.46 | PnL: -93.78% | Razón: SL
 93. ETH-USD | B | Entry: $2789.46 | Exit: $348.68 | PnL: -87.50% | Razón: SL
 94. BNB-USD | B | Entry: $348.68 | Exit: $0.85 | PnL: -99.76% | Razón: SL
 95. SOL-USD | B | Entry: $119.55 | Exit: $115.44 | PnL: -3.44% | Razón: END
